Gemeinde,Kanton,Einwohner,Fläche
Hasle bei Burgdorf,BE,3402,21.89
Hasliberg,BE,1129,41.74
Hauenstein-Ifenthal,SO,341,5.35
Hauptwil-Gottshaus,TG,2104,12.49
Hausen (AG),AG,3774,3.2
Hausen am Albis,ZH,3951,13.6
Haut-Intyamon,FR,1774,60.27
Haute-Ajoie,JU,1064,40.93
Haute-Sorne,JU,7453,71.04
Hautemorges,VD,4383,32.96
Hauterive (FR),FR,2694,11.97
Hauteville,FR,744,10.54
Häutligen,BE,268,3.07
Hedingen,ZH,4002,6.53
Hefenhofen,TG,1340,6.08
Heiden,AR,4383,7.48
Heiligenschwendi,BE,721,5.55
Heimberg,BE,7079,5.44
Heimenhausen,BE,1219,5.84
Heimiswil,BE,1629,23.36
Heitenried,FR,1404,9.13
Hellikon,AG,850,7.04
Hellsau,BE,213,1.48
Hemishofen,SH,493,7.89
Hemmiken,BL,263,3.39
Hendschiken,AG,1387,3.52
Henggart,ZH,2343,3.03
Henniez,VD,469,2.61
Herbetswil,SO,608,16.3
Herbligen,BE,640,2.76
Herdern,TG,1176,13.73
Hérémence,VS,1545,107.5
Hergiswil (NW),NW,6296,14.3
Hergiswil bei Willisau,LU,1944,31.34
Herisau,AR,15943,25.2
Hermance,GE,1246,1.44
Hermenches,VD,373,4.77
Hermrigen,BE,315,3.42
Herrliberg,ZH,6780,8.99
Hersberg,BL,393,1.66
Herznach-Ueken,AG,2667,11.37
Herzogenbuchsee,BE,7502,9.82
Hettlingen,ZH,3227,5.9
Hildisrieden,LU,2502,7.04
Hilterfingen,BE,4095,2.81
Himmelried,SO,964,6.03
Hindelbank,BE,2794,9.69
Hinwil,ZH,11961,22.28
Hirschthal,AG,1763,3.53
Hittnau,ZH,3970,12.95
Hitzkirch,LU,6086,27.6
Hochdorf,LU,10067,9.63
Hochfelden,ZH,2015,6.17
Höchstetten,BE,253,2.64
Hochwald,SO,1282,8.35
Hofstetten bei Brienz,BE,529,8.77
Hofstetten-Flüh,SO,3402,7.52
Hohenrain,LU,2462,23.23
